Dosen,Matakuliah,Program Studi,Kelas,Periode,Hari,Waktu,Ruang
"Feiza Salsabila Deka, S.I.Kom., M.I.Kom.",KOMUNIKASI PEMASARAN TERPADU - 3 SKS,ILMU KOMUNIKASI,N/A,2025/2026 GENAP REGULER,JUMAT,13:30 - 14:40,KAMPUS A ONLINE 1
"H. Agus Srimudin, S.Pd.I., M.I.Kom",SISTEM KOMUNIKASI INDONESIA - 3 SKS,ILMU KOMUNIKASI,N/A,2025/2026 GENAP REGULER,JUMAT,14:50 - 16:30,KAMPUS A ONLINE 1
"Intan Putri, S.I.Kom,. M.I.Kom",KOMUNIKASI MASSA - 3 SKS,ILMU KOMUNIKASI,N/A,2025/2026 GENAP REGULER,JUMAT,17:00 - 18:20,KAMPUS A ONLINE 1
"RIKO FARDIANSYAH, S.I.KOM., M.I.KOM",KEWIRAUSAHAAN KOMUNIKASI - 3 SKS,ILMU KOMUNIKASI,N/A,2025/2026 GENAP REGULER,JUMAT,18:50 - 19:30,KAMPUS A ONLINE 1
"Adli, S.Sos.I., M.Sc",KOMUNIKASI DAN ETIKA PROFESI - 3 SKS,ILMU KOMUNIKASI,N/A,2025/2026 GENAP REGULER,JUMAT,13:00 - 14:40,KAMPUS A ONLINE 2
"Doris Saputra, S. P., M. Si",EKONOMI SUMBER DAYA ALAM DAN LINGKUNGAN - 2 SKS,AGRIBISNIS,N/A,2025/2026 GENAP REGULER,JUMAT,13:30 - 15:00,KAMPUS A ONLINE 3
"Budi Fachrudin, S.P., M.Si",MANAJEMEN PERUSAHAAN PERKEBUNAN - 2 SKS,AGRIBISNIS,N/A,2025/2026 GENAP REGULER,JUMAT,16:50 - 18:20,KAMPUS A ONLINE 3
"Budi Fachrudin, S.P., M.Si",MANAJEMEN RANTAI PASOK DAN RANTAI NILAI - 2 SKS,AGRIBISNIS,N/A,2025/2026 GENAP REGULER,JUMAT,19:00 - 20:30,KAMPUS A ONLINE 3
"Annisa Ghina Istighfarany, S.I.Kom.,M.I.Kom",BAHASA INDONESIA - 2 SKS,ILMU KOMUNIKASI,N/A,2025/2026 GENAP REGULER,JUMAT,13:30 - 14:40,KAMPUS A ONLINE 4
"Intan Putri, S.I.Kom,. M.I.Kom",FILSAFAT ILMU KOMUNIKASI - 3 SKS,ILMU KOMUNIKASI,N/A,2025/2026 GENAP REGULER,JUMAT,14:50 - 16:30,KAMPUS A ONLINE 4
"H. Agus Srimudin, S.Pd.I., M.I.Kom",PUBLIC RELATIONS - 3 SKS,ILMU KOMUNIKASI,N/A,2025/2026 GENAP REGULER,JUMAT,17:00 - 18:40,KAMPUS A ONLINE 4
"Feiza Salsabila Deka, S.I.Kom., M.I.Kom.",KOMUNIKASI ANTARPRIBADI - 3 SKS,ILMU KOMUNIKASI,N/A,2025/2026 GENAP REGULER,JUMAT,18:50 - 19:30,KAMPUS A ONLINE 4
"Feiza Salsabila Deka, S.I.Kom., M.I.Kom.",KEWARGANEGARAAN - 2 SKS,ILMU KOMUNIKASI,N/A,2025/2026 GENAP REGULER,JUMAT,19:40 - 20:50,KAMPUS A ONLINE 4
"H. Agus Srimudin, S.Pd.I., M.I.Kom",MANAJEMEN MEDIA ONLINE - 3 SKS,ILMU KOMUNIKASI,N/A,2025/2026 GENAP REGULER,JUMAT,13:00 - 14:40,KAMPUS A ONLINE 5
"Annisa Ghina Istighfarany, S.I.Kom.,M.I.Kom",TEKNIK LOBBY DAN NEGOSIASI - 2 SKS,ILMU KOMUNIKASI,N/A,2025/2026 GENAP REGULER,JUMAT,14:50 - 16:30,KAMPUS A ONLINE 5
"Annisa Ghina Istighfarany, S.I.Kom.,M.I.Kom",KOMUNIKASI INTERNASIONAL - 2 SKS,ILMU KOMUNIKASI,N/A,2025/2026 GENAP REGULER,JUMAT,17:00 - 18:40,KAMPUS A ONLINE 5
